,COLUMN_NAME,TOP_N_VALUES
25,DEPARTMENT_NUMBER,"[
  [
    ""5008"",
    4540104
  ],
  [
    ""6200"",
    3810781
  ],
  [
    ""5051"",
    2878208
  ],
  [
    ""5000"",
    2327572
  ],
  [
    ""5506"",
    2222486
  ],
  [
    ""5003"",
    2074921
  ],
  [
    ""5400"",
    2029009
  ],
  [
    ""5054"",
    1540585
  ],
  [
    ""5402"",
    1310399
  ],
  [
    ""5501"",
    1048241
  ]
]"
26,PRODUCT_FAMILY,"[
  [
    ""Custom Cloud"",
    15034693
  ],
  [
    ""Tableau"",
    4354741
  ],
  [
    ""Sales Cloud"",
    4214144
  ],
  [
    ""Success Cloud"",
    2532172
  ],
  [
    ""MC ExactTarget"",
    1887220
  ],
  [
    ""Service Cloud"",
    1775759
  ],
  [
    ""Full CRM"",
    1231403
  ],
  [
    ""Communities"",
    858529
  ],
  [
    ""Mulesoft"",
    677669
  ],
  [
    ""Analytics"",
    414489
  ]
]"
27,PROCESS_TYPE,"[
  [
    ""Systematic"",
    34272088
  ],
  [
    ""Manual"",
    943579
  ]
]"
28,ACV_END_DATE,"[
  [
    ""2025-01-31"",
    1172179
  ],
  [
    ""2025-01-30"",
    650220
  ],
  [
    ""2024-07-31"",
    560290
  ],
  [
    ""2024-12-31"",
    550952
  ],
  [
    ""2025-02-14"",
    549658
  ],
  [
    ""2024-10-31"",
    527825
  ],
  [
    ""2025-02-13"",
    375172
  ],
  [
    ""2025-01-14"",
    363286
  ],
  [
    ""2024-04-30"",
    352310
  ],
  [
    ""2024-06-30"",
    338349
  ]
]"
29,PAYMENT_EX_RATE,"[
  [
    1.000000000000000e+00,
    22635292
  ],
  [
    1.020408160000000e+00,
    5139065
  ],
  [
    8.928571400000000e-01,
    2577566
  ],
  [
    1.369863010000000e+00,
    1166248
  ],
  [
    9.433962259999999e-01,
    547846
  ],
  [
    8.333333333000000e+01,
    383509
  ],
  [
    9.900990100000000e-01,
    381778
  ],
  [
    1.562500000000000e+00,
    318598
  ],
  [
    1.489999866000000e+02,
    258662
  ],
  [
    9.800000000000000e-01,
    206400
  ]
]"
30,ORDER_END_DATE,"[
  [
    ""2035-12-31"",
    728330
  ],
  [
    ""2025-01-31"",
    484806
  ],
  [
    ""2024-03-31"",
    341438
  ],
  [
    ""2024-12-31"",
    338550
  ],
  [
    ""2024-01-31"",
    336072
  ],
  [
    ""2027-01-31"",
    312136
  ],
  [
    ""2024-07-31"",
    285338
  ],
  [
    ""2024-02-29"",
    282300
  ],
  [
    ""2025-01-30"",
    260833
  ],
  [
    ""2024-06-30"",
    254981
  ]
]"
31,PRODUCT_NAME,"[
  [
    ""ISVForce - Platform"",
    4195927
  ],
  [
    ""Force.com Platform Embedded Edition - OEM"",
    2344045
  ],
  [
    ""Sales Cloud - Enterprise Edition"",
    1580523
  ],
  [
    ""Force.com Platform Embedded Edition (Admin User) - OEM"",
    1170994
  ],
  [
    ""Premier Success Plan - Fee"",
    991939
  ],
  [
    ""Sandbox (Full Copy) - Fee"",
    892336
  ],
  [
    ""Sandbox (Full Copy) - OEM - Fee"",
    831575
  ],
  [
    ""Tableau Cloud - Creator"",
    787173
  ],
  [
    ""Tableau - Creator (Server)"",
    753682
  ],
  [
    ""ISVForce - Service Cloud"",
    730467
  ]
]"
32,PRODUCT_LIST_PRICE,"[
  [
    9.990000000000000e+02,
    6407044
  ],
  [
    0.000000000000000e+00,
    5640630
  ],
  [
    1.500000000000000e+01,
    2555105
  ],
  [
    9.999000000000000e+03,
    1179557
  ],
  [
    6.250000000000000e+00,
    1119903
  ],
  [
    1.250000000000000e+01,
    799260
  ],
  [
    1.250000000000000e+00,
    770277
  ],
  [
    1.375000000000000e+01,
    723731
  ],
  [
    2.080000000000000e+00,
    631913
  ],
  [
    2.500000000000000e+01,
    581684
  ]
]"
33,ORDER_TYPE,"[
  [
    ""New Business"",
    24618287
  ],
  [
    ""Renewal/Upgrade"",
    8723216
  ],
  [
    ""ADJ_ACV"",
    587805
  ],
  [
    ""Attrition"",
    488329
  ],
  [
    ""SE Trigger 2"",
    181989
  ],
  [
    ""CSG Advance Trigger"",
    75535
  ],
  [
    ""ADJ-Retail Booking"",
    61281
  ],
  [
    ""ADJ_GTM_SERVICES_BOOKINGS"",
    56975
  ],
  [
    ""Pooled ACV Trigger"",
    55911
  ],
  [
    ""ADJ_ACV_CONTEST"",
    39469
  ]
]"
34,INCENTIVE_DATE,"[
  [
    ""2024-01-31"",
    2848460
  ],
  [
    ""2023-07-31"",
    1304103
  ],
  [
    ""2023-12-31"",
    1155566
  ],
  [
    ""2023-10-31"",
    1134855
  ],
  [
    ""2023-06-30"",
    753687
  ],
  [
    ""2023-04-30"",
    663907
  ],
  [
    ""2023-11-30"",
    649311
  ],
  [
    ""2023-09-30"",
    623496
  ],
  [
    ""2023-03-31"",
    591471
  ],
  [
    ""2023-08-31"",
    535684
  ]
]"
35,ORDER_DESCRIPTION,"[
  [
    ""YSN - Error - Xactly - System Bug - ACV over 100 percent on Order Term products for non-CPO employees - to cap at 100_ of the Order ACV _ACV100 FY24EY"",
    98115
  ],
  [
    ""YSN - Error - Xactly - System Bug - ACV over 100 percent on Order Term products for non-CPO employees - to cap at 100_ of the Order ACV _ACV100, H1 and Q3 reversal"",
    71945
  ],
  [
    ""MW - Error - Org62 - Manager Crediting - ACV100"",
    63061
  ],
  [
    ""YSN - Error - Xactly - System Bug - ACV over 100 percent on Order Term products for non-CPO employees - to cap at 100_ of the Order ACV _ACV100"",
    36005
  ],
  [
    ""MW - Error - Org62 - Manager Crediting - #ACV100"",
    31614
  ],
  [
    ""YSN - Error - Xactly - System Bug - ACV over 100 percent on Order Term products for non-CPO employees - to cap at 100% of the Order ACV #ACV100"",
    30906
  ],
  [
    ""BH - Other - Exception Process - Removing FY24 commissions"",
    29522
  ],
  [
    ""JS5 - Other - Pass Through Credits - GTM Bookings Credits"",
    28999
  ],
  [
    ""YSN - Error - Xactly - System Bug - ACV over 100 percent on Order Term products for non-CPO employees - Aug load reversal"",
    23923
  ],
  [
    ""AR1 - Other - Pass Through Credits - GTM Bookings Credits"",
    21357
  ]
]"
36,COMMISSIONS_ACCOUNTING_ID,"[
  [
    ""1205_401700_Ratable"",
    11453576
  ],
  [
    ""1660_400050_Term License"",
    2767552
  ],
  [
    ""1002_400001_Ratable"",
    2748841
  ],
  [
    ""1609_400001_Ratable"",
    1750838
  ],
  [
    ""1660_400001_Ratable"",
    1416250
  ],
  [
    ""2101_400001_Ratable"",
    1113022
  ],
  [
    ""1204_401700_Ratable"",
    1097409
  ],
  [
    ""2301_402100_Ratable"",
    935869
  ],
  [
    ""1506_400040_Ratable"",
    846940
  ],
  [
    ""1609_450001_Ratable"",
    820361
  ]
]"
37,QTR,"[
  [
    ""Q1"",
    31848943
  ],
  [
    ""Q2"",
    2204867
  ],
  [
    ""Q3"",
    1161857
  ]
]"
38,PARTICIPANT_NAME,"[
  [
    ""Jim Steele (100367)"",
    1061635
  ],
  [
    ""Polly Sumner (102876)"",
    1045578
  ],
  [
    ""Tony Fernicola (713688)"",
    1044680
  ],
  [
    ""Mia de Kuijper (734763)"",
    993017
  ],
  [
    ""Maurizio Pettorino (753521)"",
    834901
  ],
  [
    ""Craig Walker (772471)"",
    834695
  ],
  [
    ""Julie Hansen (102423)"",
    832681
  ],
  [
    ""Mark Recher (720328)"",
    519465
  ],
  [
    ""Warren Wick (100274)"",
    515348
  ],
  [
    ""Lori Steele (761537)"",
    250742
  ]
]"
39,PAYMENT_AMOUNT_USD,"[
  [
    1.000000000000000e-05,
    58172
  ],
  [
    1.410000000000000e-03,
    54983
  ],
  [
    7.180000000000000e-03,
    46093
  ],
  [
    1.280000000000000e-03,
    45122
  ],
  [
    1.287142853024000e-03,
    45122
  ],
  [
    2.748000000000000e-02,
    45121
  ],
  [
    3.980000000000000e-03,
    43502
  ],
  [
    1.880000000000000e-03,
    41481
  ],
  [
    2.190000000000000e-03,
    41481
  ],
  [
    3.490000000000000e-03,
    41303
  ]
]"
40,RENEWAL_START_DATE,[]
41,AMOUNT,"[
  [
    1.500000000000000e+01,
    717216
  ],
  [
    2.500000000000000e+01,
    460816
  ],
  [
    7.500000000000000e+01,
    424866
  ],
  [
    7.500000000000000e-01,
    375601
  ],
  [
    7.000000000000000e+01,
    364506
  ],
  [
    1.000000000000000e+00,
    353056
  ],
  [
    5.000000000000000e+00,
    309996
  ],
  [
    3.000000000000000e+00,
    307873
  ],
  [
    3.500000000000000e+01,
    270198
  ],
  [
    1.200000000000000e+01,
    267997
  ]
]"
42,CUSTOMER_NAME,"[
  [
    ""Accor SA"",
    113092
  ],
  [
    ""Veolia Environnement SA"",
    64271
  ],
  [
    ""DOCUmation Inc"",
    46801
  ],
  [
    ""Ford Motor Company"",
    43974
  ],
  [
    ""Takeda Pharmaceuticals International AG"",
    40135
  ],
  [
    ""The Bank of San Antonio"",
    39033
  ],
  [
    ""Caja Los Andes"",
    38542
  ],
  [
    ""HYUNDAI AUTOEVER CORPORATION."",
    33400
  ],
  [
    ""Fonterra Limited"",
    31699
  ],
  [
    ""Consolidated Edison Company of New York  Inc."",
    30427
  ]
]"
43,ORDER_START_DATE,"[
  [
    ""2024-02-01"",
    1206804
  ],
  [
    ""2024-01-01"",
    660622
  ],
  [
    ""2024-01-31"",
    653592
  ],
  [
    ""2023-08-01"",
    607009
  ],
  [
    ""2023-11-01"",
    585782
  ],
  [
    ""2024-02-15"",
    554443
  ],
  [
    ""2023-07-01"",
    406553
  ],
  [
    ""2023-05-01"",
    399079
  ],
  [
    ""2024-02-14"",
    374014
  ],
  [
    ""2024-04-01"",
    370306
  ]
]"
44,COMMISSION_AMOUNT,"[
  [
    8.520000000000000e-03,
    38936
  ],
  [
    -1.123000000000000e-02,
    37893
  ],
  [
    1.720000000000000e-03,
    35597
  ],
  [
    3.260000000000000e-03,
    35596
  ],
  [
    8.800000000000000e-04,
    35596
  ],
  [
    9.990000000000001e-03,
    35596
  ],
  [
    3.660000000000000e-03,
    35596
  ],
  [
    1.000000000000000e-04,
    35596
  ],
  [
    2.680000000000000e-03,
    35595
  ],
  [
    6.140000000000000e-03,
    27616
  ]
]"
45,ATTRITION_FISCAL_YEAR,"[
  [
    ""2024"",
    29972298
  ],
  [
    ""2025"",
    4632530
  ],
  [
    ""2023"",
    109953
  ],
  [
    ""2022"",
    15135
  ],
  [
    ""2021"",
    1548
  ],
  [
    ""2020"",
    251
  ],
  [
    ""2019"",
    83
  ],
  [
    ""2016"",
    5
  ],
  [
    ""2018"",
    2
  ]
]"
46,CLOSE_MONTH,"[
  [
    ""01-Feb"",
    30273397
  ],
  [
    ""03-Apr"",
    1551170
  ],
  [
    ""04-May"",
    1095212
  ],
  [
    ""05-Jun"",
    718477
  ],
  [
    ""08-Sep"",
    530897
  ],
  [
    ""07-Aug"",
    469849
  ],
  [
    ""06-Jul"",
    391178
  ],
  [
    ""09-Oct"",
    161111
  ],
  [
    ""02-Mar"",
    24376
  ]
]"
